Source,Target,interaction_type,group
Andreasmperu,Mewtwowimmer,DELETED,taylor_swift
AR.GNV,Moebeus,DELETED,taylor_swift
JJMC89,Abdel Rahman Hany Muhamed,DELETED,taylor_swift
Geraldo Perez,Matixd019,DELETED,taylor_swift
Eduardosalg,2001:B07:A14:4338:7C10:8478:CF53:59A1,DELETED,taylor_swift
Al-Dandoon,Abdel Rahman Hany Muhamed,DELETED,taylor_swift
I'mfeistyincognito,2800:484:4C80:4250:65DE:136F:C5D0:E042,DELETED,taylor_swift
Rommeliosva,Ghuron,DELETED,taylor_swift
Obsuser,BorkedBot,DELETED,taylor_swift
Rommeliosva,I'mfeistyincognito,DELETED,taylor_swift
CommonsDelinker,Adrianmartinezuwu,DELETED,taylor_swift
Bigbossfarin,Ontogon,DELETED,taylor_swift
KrBot,Hamuli,DELETED,taylor_swift
Twofivesixbot,Soweego bot,DELETED,taylor_swift
Ameisenigel,Pacostein,DELETED,taylor_swift
Ameisenigel,Ontogon,DELETED,taylor_swift
Ameisenigel,Tinker Bell,DELETED,taylor_swift
Epìdosis,Reinheitsgebot,DELETED,taylor_swift
Soylacarli,DeltaBot,DELETED,taylor_swift
Ontogon,Trivialist,DELETED,taylor_swift
Legobot,J36miles,MODIFIED,taylor_swift
RobotMichiel1972,Happy5214,MODIFIED,taylor_swift
Legobot,RobotMichiel1972,MODIFIED,taylor_swift
107.8.25.56,Legobot,MODIFIED,taylor_swift
Stryn,107.8.25.56,MODIFIED,taylor_swift
66.229.136.167,Karthikndr,MODIFIED,taylor_swift
Jasper Deng,66.229.136.167,MODIFIED,taylor_swift
96.32.122.6,Legobot,MODIFIED,taylor_swift
96.32.122.6,Legobot,MODIFIED,taylor_swift
Faithandmollyrock,96.32.122.6,MODIFIED,taylor_swift
Stryn,Faithandmollyrock,MODIFIED,taylor_swift
Stryn,96.32.122.6,MODIFIED,taylor_swift
SamoaBot,VIAFbot,MODIFIED,taylor_swift
Hatto,Jasper Deng,MODIFIED,taylor_swift
