Source,Target,interaction_type
SamoaBot,SamoaBot,MODIFIED
SamoaBot,SamoaBot,MODIFIED
Hatto,Jasper Deng,MODIFIED
Jasper Deng,Hatto,MODIFIED
Jasper Deng,Jasper Deng,MODIFIED
62.171.198.5,Stryn,MODIFIED
Snow Blizzard,62.171.198.5,MODIFIED
VIAFbot,Stryn,MODIFIED
SamoaBot,MineoBot,MODIFIED
VIAFbot,Snow Blizzard,MODIFIED
Lolnowbu,VIAFbot,MODIFIED
Lolnowbu,VIAFbot,MODIFIED
Lolnowbu,Stryn,MODIFIED
Lolnowbu,Lolnowbu,MODIFIED
Lolnowbu,Lolnowbu,MODIFIED
Lolnowbu,Snow Blizzard,MODIFIED
Lolnowbu,Snow Blizzard,MODIFIED
SamoaBot,Lolnowbu,MODIFIED
SamoaBot,Lolnowbu,MODIFIED
Okras,SamoaBot,MODIFIED
KLBot2,KLBot2,MODIFIED
Legobot,Legoktm,MODIFIED
Zuphilip,Legobot,MODIFIED
KrBot,KrBot,MODIFIED
KrBot,KrBot,MODIFIED
Kenna 1D lover Niall,KrBot,MODIFIED
Kenna 1D lover Niall,Legobot,MODIFIED
Rschen7754,Kenna 1D lover Niall,MODIFIED
Rschen7754,Kenna 1D lover Niall,MODIFIED
GPUBot,GPUBot,MODIFIED
UnderlyingBot,UnderlyingBot,MODIFIED
PLbot,SamoaBot,MODIFIED
PLbot,SamoaBot,MODIFIED
101.100.11.34,UnderlyingBot,MODIFIED
Haplology,101.100.11.34,MODIFIED
GerardM,Lolnowbu,MODIFIED
GerardM,GerardM,MODIFIED
AmaryllisGardener,Haplology,MODIFIED
Infovarius,GerardM,MODIFIED
GerardM,Infovarius,MODIFIED
Andreasmperu,GerardM,MODIFIED
Andreasmperu,Andreasmperu,MODIFIED
Coyau,Andreasmperu,MODIFIED
AmaryllisGardener,AmaryllisGardener,MODIFIED
Rezabot,Coyau,MODIFIED
Rezabot,Rezabot,MODIFIED
Rezabot,Rezabot,MODIFIED
Rezabot,Rezabot,MODIFIED
189.214.3.176,Lolnowbu,MODIFIED
Stryn,189.214.3.176,MODIFIED
SweetBot,SweetBot,MODIFIED
SweetBot,SweetBot,MODIFIED
99.237.103.23,99.237.103.23,MODIFIED
Sjoerddebruin,99.237.103.23,MODIFIED
Sjoerddebruin,Sjoerddebruin,MODIFIED
KasparBot,KasparBot,MODIFIED
KasparBot,KasparBot,MODIFIED
Quenhitran,KLBot2,MODIFIED
Quenhitran,Quenhitran,MODIFIED
